sample_id,data_source,task,question,gold,system,LLaVA-3B-MedSigLIP_pred,LLaVA-3B-CLIP_pred
62,zenodo/rocov2,caption,,"Cardiac computerized tomography showing intracardiac metallic foreign body, with dimensions of 3 × 44 mm. The proximal end is located intracavitary, inside the left atria, near the ostia of the atrial appendage, running a course towards the anterior septum [modified LV 2 chamber view, left heart early arterial phase], initially with an epicardial location, running behind the left anterior descending artery and the origin of the left circumflex artery.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Sagittal view of the CT scan showing the aortic dissection.,Computed tomography angiogram of the heart showing the pacemaker lead in the right ventricle.
63,zenodo/rocov2,caption,,"Illustration of the quantitative accuracy assessment of gestational sac region segmentation. The yellow ellipse is an area (G) manually labeled by a doctor before the test, while the green ellipse indicates the segmentation area (S) predicted by the algorithm. The intersection area between S and G is the true positive predicted area (TP). FP (false positive predicted area) = S-TP; FN (false negative predicted area) = G-TP",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,"Transvaginal ultrasound image of the uterus and cervix. The uterine cavity (UC) is outlined in yellow, and the cervix (C) is outlined in green. The cervical canal (CC) is outlined in red.",Transvaginal ultrasound image of the uterus in a 28-year-old woman with a history of cesarean section. The endometrium (green line) is seen to be thin and hyperechoic. The endometrial cavity (EC) is seen to be empty. The gestational sac (GS) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the lower uterine segment (LUS). The fetal pole (FP) is seen to be located in the lower uterine segment (LUS). The placenta (P) is seen to be located in the
64,zenodo/rocov2,caption,,VCUG performed at 3 months after BTX‐A injection showed bilateral moderate VUR.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Voiding cystourethrogram showing a large posterior urethral diverticulum.,Voiding cystourethrogram showing a large bladder diverticulum.
65,zenodo/rocov2,caption,,TEE findings noted mitral valve vegetations on the lateral posterior P2 segment (red arrow) and severe mitral regurgitation with systolic reversal of the right pulmonary vein.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Transesophageal echocardiogram showing a vegetation on the anterior mitral valve leaflet (red arrow).,Transesophageal echocardiogram showing a vegetation on the anterior mitral valve leaflet (red arrow)
66,zenodo/rocov2,caption,,Open reduction and internal fixation on the femur.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Postoperative radiograph of the left femur.,Postoperative radiograph of the left femur.
67,zenodo/rocov2,caption,,Video fluoroscopy showing hypopharyngeal triangular-shaped air pocket (blue arrow) adjacent to the esophagus with no visible fistula.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Lateral view of the neck showing the tracheal stenosis (arrow).,Barium swallow showing a 1.5 cm filling defect in the upper esophagus (arrow).
68,zenodo/rocov2,caption,,Example of retinal detachment seen on ocular ultrasound.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,"B-scan ultrasonography of the left eye showing a large, well-defined, hyperechoic mass in the posterior chamber.","B-scan ultrasonography of the left eye showing a large, well-defined, round, anechoic mass with a thin, hyperechoic wall."
69,zenodo/rocov2,caption,,"Transthoracic echocardiography demonstrates a massive pericardial effusion (21 mm) at the posterior, without any sign of right ventricle chamber collapse.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Transthoracic echocardiogram showing a large pericardial effusion.,Echocardiogram showing a large pericardial effusion.
70,zenodo/rocov2,caption,,Abdominal CT scan revealing parietal thrombosis of the superior mesenteric artery.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen showing a 3.5 cm mass in the pancreatic head.,Computed tomography angiography showing a thrombus in the right renal vein.
71,zenodo/rocov2,caption,,Axial abdominal MSCT illustrated multiple nodules with distinct margins at both the right and left lobes of the liver.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen showing multiple hypodense lesions in the liver.,CT scan of the abdomen showing multiple hepatic cysts.
72,zenodo/rocov2,caption,,"Sagittal magnetic resonance imaging of the knee. Gradient echo sequence image of the medial compartment of the knee demonstrating a suspicious double ramp lesion. The long arrow indicates the first ramp lesion, and the short arrow indicates the second ramp lesion",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Sagittal proton density fat-suppressed fast spin echo image of the knee shows a normal anterior cruciate ligament (arrows),Sagittal T2-weighted image of the knee. The arrow indicates the location of the lesion.
73,zenodo/rocov2,caption,,CXR showing increased RUL nodule size to 3.1 cm,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Chest X-ray showing a right upper lobe nodule.,Chest X-ray showing a right upper lobe cavitary lesion
74,zenodo/rocov2,caption,,"Measurement of the marginal bone level and the angle of the tilted implant with dedicated software. After calibration, the implant shoulder was used as a reference level (RL), and the distance from the RL to the first bone-to-implant contact was measured. The angle of the tilted implants was measured by tracing lines through the occlusal plane and parallel to the long axis of the implants.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Measurement of the implant length.,Radiographic measurement of the distance between the implant shoulder and the occlusal plane.
75,zenodo/rocov2,caption,,Computed tomography scan of the abdomen in sagittal view with two yellow angled lines showing the reduced aorto-mesenteric angle.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Sagittal CT scan of the abdomen and pelvis showing a large retroperitoneal hematoma (asterisk) with a large amount of free fluid in the pelvis.,Sagittal CT scan showing the course of the catheter in the inferior vena cava
76,zenodo/rocov2,caption,,Chest CT showed a huge mass in the right breast.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the chest showing a large mass in the right breast.,Computed tomography scan of the chest showing a large mass in the right breast.
77,zenodo/rocov2,caption,,Echocardiogram showing trivial pericardial effusion,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Echocardiography showing a large pericardial effusion,Transthoracic echocardiogram showing a large pericardial effusion.
78,zenodo/rocov2,caption,,"Two ovarian cysts shown by ultrasonography. Diameter of cyst (1 and 2), diameter of second cyst (3) and full layers diameter (4).",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Ultrasound image of the right testicle.,Ultrasonography of the right eye showing a 3.5 × 3.5 mm mass in the posterior pole.
79,zenodo/rocov2,caption,,Dilated common bile duct in long axis. In the lumen a linear structure delimitated by two parallel hyperechoic lines is visible in this ultrasound image,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Ultrasound image of the right common carotid artery. The image shows a 2.5 cm aneurysm with a diameter of 1.5 cm.,Ultrasound image of the right testis showing a normal testicular parenchyma.
80,zenodo/rocov2,caption,,"Ventro-dorsal radiograph of D6. Note the severely increased abdominal volume, the central gathering of the small bowel loops (black arrows) with fluid opacity at the periphery of the peritoneal cavity (white arrow).",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,"Radiograph of the abdomen of a 3-year-old male, neutered, mixed-breed dog, with a history of abdominal pain and vomiting. The radiograph shows a large amount of gas in the abdomen (black arrows) and a large amount of gas in the pelvis (white arrows).","Abdominal radiograph of a 3-year-old male, mixed-breed dog with a history of vomiting and diarrhea. The radiograph shows a large amount of gas in the stomach (white arrow) and small intestine (black arrows)."
81,zenodo/rocov2,caption,,Chest CT of case 3.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Chest CT scan showing bilateral ground-glass opacities and consolidation.,Chest CT scan showing bilateral ground-glass opacities and consolidation.
82,zenodo/rocov2,caption,,"CT scan of December 28, 2020 representing a lymph node and pleural progression.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the chest showing a large left-sided pleural effusion.,CT scan of the chest showing a large left pleural effusion and a small right pleural effusion.
83,zenodo/rocov2,caption,,CT scan demonstrating mild pericardial effusion (white arrow),You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the chest showing a large mass in the left atrium (arrow).,CT scan of the chest showing a large pericardial effusion (arrow)
84,zenodo/rocov2,caption,,CT scan of the abdomen. Remarkable for small bowel obstruction with dilated loops of small bowel measuring up to 3.5cm (examples indicated by yellow and blue lines with respective measurements). Fluid levels are seen within the colon (red arrows).,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen and pelvis showing a 3.5 cm x 2.5 cm x 3.5 cm mass in the right lower quadrant.,CT scan of the abdomen and pelvis with contrast showing a 3.4 cm x 3.3 cm x 3.1 cm mass in the left lower quadrant of the abdomen.
85,zenodo/rocov2,caption,,"CT scan obtained at presentation, coronal view demonstrating a mass spanning from the pelvis to left upper quadrant.",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen and pelvis showing a large mass in the left lower quadrant.,CT scan of the abdomen and pelvis with contrast showing a large left retroperitoneal mass.
86,zenodo/rocov2,caption,,Coronal section of the CT showing renal left renal mass involving upper and mid pole,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,CT scan of the abdomen and pelvis showing a large left renal mass.,Coronal view of the CT scan of the abdomen and pelvis showing a large left renal mass.
87,zenodo/rocov2,caption,,Chest radiography revealed increased soft tissue opacity over the mediastinum.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Chest X-ray showing cardiomegaly and pulmonary congestion.,Chest X-ray showing a normal cardiac silhouette.
88,zenodo/rocov2,caption,,Erect abdominal X-ray with air fluid level.,You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Abdominal radiograph showing dilated small bowel loops.,Abdominal X-ray showing dilated bowel loops.
89,zenodo/rocov2,caption,,"Renal angiography showing thin trickle of contrast passing through the LRV into the inferior vena cava (IVC) (top arrow), paraspinal collateral (middle arrow) and retrograde reflux of contrast into left ovarian vein (bottom arrow).",You are a medical imaging expert. Describe what is visible in the image concisely; do not speculate beyond it.,Angiography of the aorta showing the presence of a large pseudoaneurysm (arrows) of the abdominal aorta.,Angiography of the superior mesenteric artery (SMA) and celiac trunk (CT) shows the presence of a large pseudoaneurysm (arrows) of the SMA.
